Nutrient;Unit;LI_W;AR_W;LI_M;AR_M
Vitamin A;RE;400;500;500;600
Vitamin D;µg;2.5;7.5;2.5;7.5
Vitamin E;a-Te;3;5;4;6
Thiamin;mg;0.5;0.9;0.6;1.2
Riboflavin;mg;0.8;1.1;0.8;1.4
Niacin;NE;9;12;12;15
Vitamin B6;mg;0.8;1.1;1;1.3
Folate;µg;100;200;100;200
Vitamin B12;µg;1;1.4;1;1.4
Vitamin C;mg;10;50;10;60
Calcium;mg;400;500;400;500
Phosphorus;mg;300;450;300;450
Potassium;g;1.6;1.6;1.6;1.6;
Iron;mg;5;10;7;7
Zinc;mg;4;5;5;6
Copper;mg;0.4;0.7;0.4;0.7
Iodine;µg;70;100;70;100
Selenium;µg;20;30;20;35
Kilocalories;??;2000;2000;2000;2000
